block_size,compression_ratio_actual,compression_ratio_target,has_bias,in_features,layer,method,module_type,name,out_features,params_original,params_structured,rank,relative_weight_error,terms
64,6.0,2.0,True,1536,1,monarch_like,k_proj,model.layers.1.self_attn.k_proj,256,393216,65536,64,0.9571279574638194,2
,4.063492063492063,4.0,True,1536,1,low_rank,k_proj,model.layers.1.self_attn.k_proj,256,393216,96768,54,0.6810884134480133,
16,16.0,4.0,True,1536,1,block_circulant,k_proj,model.layers.1.self_attn.k_proj,256,393216,24576,0,0.9680167506883552,
64,6.0,4.0,True,1536,1,monarch_like,k_proj,model.layers.1.self_attn.k_proj,256,393216,65536,64,0.9571279574638194,2
,8.126984126984127,8.0,True,1536,1,low_rank,k_proj,model.layers.1.self_attn.k_proj,256,393216,48384,27,0.8224719877039245,
16,16.0,8.0,True,1536,1,block_circulant,k_proj,model.layers.1.self_attn.k_proj,256,393216,24576,0,0.9680167506883552,
64,8.0,8.0,True,1536,1,monarch_like,k_proj,model.layers.1.self_attn.k_proj,256,393216,49152,48,0.9574825906823318,2
,16.87912087912088,16.0,True,1536,1,low_rank,k_proj,model.layers.1.self_attn.k_proj,256,393216,23296,13,0.9045655552408646,
16,16.0,16.0,True,1536,1,block_circulant,k_proj,model.layers.1.self_attn.k_proj,256,393216,24576,0,0.9680167506883552,
64,16.0,16.0,True,1536,1,monarch_like,k_proj,model.layers.1.self_attn.k_proj,256,393216,24576,24,0.9644773844264295,2
,2.0,2.0,False,1536,1,low_rank,o_proj,model.layers.1.self_attn.o_proj,1536,2359296,1179648,384,0.479149770316844,
16,16.0,2.0,False,1536,1,block_circulant,o_proj,model.layers.1.self_attn.o_proj,1536,2359296,147456,0,0.968170859445837,
64,6.0,2.0,False,1536,1,monarch_like,o_proj,model.layers.1.self_attn.o_proj,1536,2359296,393216,64,0.9582232524141061,2
,4.0,4.0,False,1536,1,low_rank,o_proj,model.layers.1.self_attn.o_proj,1536,2359296,589824,192,0.6852088207052514,
16,16.0,4.0,False,1536,1,block_circulant,o_proj,model.layers.1.self_attn.o_proj,1536,2359296,147456,0,0.968170859445837,
64,6.0,4.0,False,1536,1,monarch_like,o_proj,model.layers.1.self_attn.o_proj,1536,2359296,393216,64,0.9582232524141061,2
